01.11.01,,,,,,,,,
,,,,,,,,,
14.11.06,ThT not added ab initio,,"5,10 1%Atten (LMB LS55B)",,,,,,
Time (h),asyn,a1-75,a1-80,,,,,,
0,4,4,4,,,,,,
4,5.2,9.1,11,,,,,,
8,7.6,13.4,12.9,,,,,,
24,19.8,23.1,15.2,,,,,,
48,88.8,10.4,14.8,,,,,,
98,81.8,10.12,17.7,,,,,,
,,,,,,,,,
21.11.06,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V,b5V8Q,,,,,,
0,4,4,4,,,,,,
4,4,4.1,4.2,,,,,,
8,4,4.2,4.2,,,,,,
24,19.6,4.31,67.4,,,,,,
48,65,5.7,73.4,,,,,,
150,60,46.1,84.4,,,,,,
,,,,,,,,,
04.12.06,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V,b5V8Q,,,,,,
0,4,4,4,,,,,,
4,4.3,4.3,4.4,,,,,,
8,5.9,4.6,4.9,,,,,,
24,18.2,4.4,4.9,,,,,,
48,57.2,4.5,5.5,,,,,,
96,62.2,24.3,6,,,,,,
,,,,,,,,,
04.12.06,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,a1-75,a1-80,,,,,,
0,4,4,4,,,,,,
0.5,4.1,4.1,5.5,,,,,,
1,4.2,4.2,11.4,,,,,,
2,4.1,16.4,13.2,,,,,,
4,4.1,41.6,10.3,,,,,,
8,5.8,38.6,9.7,,,,,,
24,17.8,42.6,13.8,,,,,,
48,44.3,38.6,15,,,,,,
96,50.3,50.6,18.6,,,,,,
,,,,,,,,,
19.02.07,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,a41-140,a51-140,a61-140,,,,,
0,4,4,4,4,,,,,
4,4.7,4.1,4.9,6,,,,,
8,10.5,4.5,8.9,14,,,,,
24,96.5,85.6,88.7,21,,,,,
48,108.5,166.6,97.7,26,,,,,
96,111.5,209.6,92.7,17,,,,,
,,,,,,,,,
30.07.07,#1,"5,10 1%Atten (LMB LS55B)",,,,,,,
Time (h),asyn,a41-140,a51-140,a61-140,,,,,
0,4,4,4,4,,,,,
4,5.4,4,4.4,30.4,,,,,
8,9.3,16.9,9.4,46.9,,,,,
24,45.8,101.9,123.9,62.9,,,,,
48,61.8,96.9,133.9,61.9,,,,,
96,,,,,,,,,
,,,,,,,,,
30.07.07,#2,"5,10 1%Atten (LMB LS55B)",,,,,,,
Time (h),asyn,a41-140,a51-140,a61-140,,,,,
0,4,4,4,4,,,,,
4,4,4,4,4.2,,,,,
8,5.9,5,4,5.1,,,,,
24,75.9,38.9,13.6,14.5,,,,,
48,83.9,40.9,72.9,17.4,,,,,
96,,,,,,,,,
,,,,,,,,,
24.09.07,#1,"5,10 1%Atten (LMB LS55B)",,,,,,,
Time (h),asyn,b5V8Q,a45V46V,b45V46V,,,,,
0,4,4,4,4,,,,,
1,4,4,13.5,4,,,,,
2,4.1,4.2,15.2,5,,,,,
4,5.2,4.1,18.2,6.3,,,,,
8,8.3,4.1,19.5,12.5,,,,,
24,24.7,13.5,23.5,23,,,,,
48,43.7,36.7,24.5,23.6,,,,,
96,48.7,38.7,25.5,26.6,,,,,
,,,,,,,,,
24.09.07,#2,"5,10 1%Atten (LMB LS55B)",,,,,,,
Time (h),asyn,b5V8Q,a45V46V,b45V46V,,,,,
0,4,4,4,4,,,,,
1,4,4.1,7.6,4,,,,,
2,4,4.1,15.6,4.1,,,,,
4,4.3,4.1,20.6,4.4,,,,,
8,6.1,4.2,24.6,9.4,,,,,
24,23.6,31.9,27.6,16.4,,,,,
48,39.6,35.6,29.6,48.6,,,,,
96,43.6,35.6,34.6,53.6,,,,,
,,,,,,,,,
13.11.07,#1,"5,10 1%Atten (LMB LS55B)",,,,,,,
Time (h),asyn,bE46V,b45V46V,,,,,,
0,4,4,4,,,,,,
4,4.15,7.26,4.15,,,,,,
8,4.2,8.56,4.15,,,,,,
24,43.5,7.66,12.05,,,,,,
48,59.5,14.26,21.95,,,,,,
96,66.5,20.56,29.65,,,,,,
,,,,,,,,,
13.11.07,#2,"5,10 1%Atten (LMB LS55B)",,,,,,,
Time (h),asyn,bE46V,b45V46V,,,,,,
0,4,4,4,,,,,,
4,4.05,4,4,,,,,,
8,4.05,4.01,4,,,,,,
24,9.85,4.55,3.9,,,,,,
48,50.65,31.65,21.3,,,,,,
96,63.65,33.65,33.6,,,,,,
,,,,,,,,,
13.11.07,#3,"5,10 1%Atten (LMB LS55B)",,,,,,,
Time (h),asyn,bE46V,b45V46V,,,,,,
0,4,4,4,,,,,,
4,4.1,4.08,4.2,,,,,,
8,4.1,4.08,4.26,,,,,,
24,25.6,3.98,4.05,,,,,,
48,79.6,21.08,4.4,,,,,,
96,97.6,28.58,33.6,,,,,,
,,,,,,,,,
21.01.08,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,aE83Q,a73-82Del,,,,,,
0,4,4,4,,,,,,
4,4.4,32.5,4.1,,,,,,
8,5.7,32.5,3.9,,,,,,
24,17.7,35.5,5,,,,,,
48,18.7,33.5,7.8,,,,,,
96,20.1,33.5,12.4,,,,,,
,,,,,,,,,
10.03.08,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,aK45V,aE46V,a45V46V,,,,,
0,4,4,4,4,,,,,
0.5,3.9,3.97,4.1,4.2,,,,,
1,3.9,4.02,4.1,4.3,,,,,
2,3.9,3.97,5,4.5,,,,,
4,3.9,3.97,27.8,8,,,,,
8,4.6,17.37,64.8,10.9,,,,,
24,18.8,48.87,51.8,24.7,,,,,
48,41.8,47.87,46.8,26.7,,,,,
96,46.8,47.87,39.8,27.7,,,,,
,,,,,,,,,
06.04.08,CORRECTED* ,,,"*buffer used upto 48h had pH of ~8.7. Buffer used at 96h had pH 8.5. The values at 96h will be corrected to average of ratio for aWTs in the 3 expts, i.e. 1.46)",,,,,
Time (h),asyn,bE46V,,,,,,,
0,4,4,,,,,,,
4,7.3,4,,,,,,,
8,15.7,9.1,,,,,,,
24,56.7,34.7,,,,,,,
48,66.7,47.7,,,,,,,
96,66.48,46.04,,,,,,,
,,,,,,,,,
12.05.08,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V2Q,b5V4Q,b5V6Q,b5V8Q,asyn,aK45V,aE46V,
0,4,4,4,4,4,4,4,4,
4,7.8,4,4,4.1,3.9,4,4,4.1,
8,12.5,3.9,3.9,3.9,3.9,4.7,4.4,25.4,
24,38.1,3.9,4,4,3.8,11.2,84.1,57.4,
48,51.1,3.9,6.6,4,3.8,18.2,82.1,52.4,
96,56.1,3.9,31.6,4,3.9,33.2,79.1,48.4,
,,,,,,,,,
12.05.08 ,contin,,,,,,,,
Time (h),asyn,b5V2Q,asyn,b5V4Q,b5V6Q,,,,
0,4,4,4,4,4,,,,
4,7.8,4,3.9,4,4,,,,
8,12.5,3.9,6.5,3.9,3.9,,,,
24,38.1,3.9,74.5,4,62.5,,,,
48,51.1,3.9,94.5,3.9,74.5,,,,
96,56.1,3.9,96.5,5.8,76.5,,,,
,,,,,,,,,
09.06.08,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V6Q,,,,,,,
0,4,4,,,,,,,
4,4,4,,,,,,,
8,7.1,4,,,,,,,
24,70.6,4,,,,,,,
48,82.6,55.5,,,,,,,
96,69.6,51.5,,,,,,,
,,,,,,,,,
01.10.08 #1,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V4Q,b5V6Q,,,,,,
0,4,4,4,,,,,,
5,6.1,3.9,4,,,,,,
9,26.5,3.9,4.1,,,,,,
25,47.5,18.2,87.5,,,,,,
49,54.5,37.2,84.5,,,,,,
120,46.5,39.2,101.5,,,,,,
,,,,,,,,,
01.10.08#2,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,aK45E,aK45V,,,,,,
0,4,4,4,,,,,,
5,4.2,3.9,4.6,,,,,,
9,19.2,19.8,131.8,,,,,,
25,27.9,22.8,133.8,,,,,,
49,28.9,23.8,133.8,,,,,,
120,31.9,22.8,130.8,,,,,,
,,,,,,,,,
16.12.08,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V,b5V2Q,b5V4Q,b5V6Q,b5V8Q,,,
0,4,4,4,4,4,4,,,
4,4,4.2,4.1,4.1,4.1,4.1,,,
8,4,4.2,4.4,4.1,4.2,4.2,,,
24,36.7,4.4,4.3,4,4.1,4.2,,,
48,49.7,4.2,4.1,4.2,4.1,4.1,,,
100,61.7,4.3,4.2,4.7,223.7,258.7,,,
,,,,,,,,,
27.04.09,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V,b5V2Q,,,,,,
0,4,4,4,,,,,,
4,4,4,4,,,,,,
8,4,4,4.2,,,,,,
24,21.5,4,4.8,,,,,,
48,56,4,4.8,,,,,,
100,94,11.1,5.5,,,,,,
,,,,,,,,,
18.05.09,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V2Q,asyn,b5V,b5V2Q,,,,
0,4,4,4,4,4,,,,
4,3.9,3.9,4,4,4,,,,
8,3.9,3.9,4,4,4,,,,
24,7.9,3.9,17.9,4,4,,,,
48,54.8,3.9,65.9,4,4,,,,
100,53.8,3.9,54.9,5.2,4,,,,
,,,,,,,,,
15.06.09,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V,b5V4Q,b5V6Q,b5V8Q,,,,
0,4,4,4,4,4,,,,
4,4.06,3.98,4,4.02,3.96,,,,
8,3.98,3.98,4.26,3.98,4,,,,
24,17.56,3.98,7.96,4.16,4,,,,
48,34.96,4.24,24.96,18.96,98.9,,,,
100,32.96,13.94,24.96,120.96,99.9,,,,
,,,,,,,,,
30.10.09#2,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,aK45V,aE46V,,,,,,
0,4,4,4,,,,,,
1,4,4,5.1,,,,,,
2,4,4.2,60.5,,,,,,
4,4.1,15.3,113.5,,,,,,
8,5.4,283.4,118.5,,,,,,
24,35.5,345.4,126.5,,,,,,
48,116.5,350.4,112.5,,,,,,
100,108.5,381.4,111.5,,,,,,
,,,,,,,,,
30.10.09#3,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,b5V8Q,,,,,,,
0,4,4,,,,,,,
4,4.2,4.1,,,,,,,
8,4.2,4.4,,,,,,,
24,10.4,26.7,,,,,,,
48,37.7,241.7,,,,,,,
100,29.7,188.7,,,,,,,
