01.11.01,,,,,,,,,
25.5,121,27.7,292.5,16.8,4.1,,,,
50,359,147.7,285.5,22.4,4.2,,,,
99,337,172.7,262.5,24.4,163.4,,,,
264,509,299.7,342.5,28.4,276.4,,,,
,,,,,,,,,
26.04.04,,,,,,,,,
Time (h),asyn,b5V,ba12,,,,,,
0,4,4,4,,,,,,
4,4.3,4,4,,,,,,
8,6.2,4,4,,,,,,
24,299.6,8.6,4,,,,,,
48,225.6,20.1,4.7,,,,,,
100,326.6,37.6,138.4,,,,,,
,,,,,,,,,
04.05.04,,,,,,,,,
Time (h),asyn,aA30P,aE46K,aA53T,,,,,
0,4,4,4,4,,,,,
4.5,6.4,18.6,4.6,6.5,,,,,
8.5,23.4,72.6,9.1,41.7,,,,,
25,273.4,229.6,90.6,82.2,,,,,
48,304.4,297.6,88.6,91.2,,,,,
150,344.4,302.6,82.6,104.2,,,,,
366,355.4,366.6,113.6,124.2,,,,,
,,,,,,,,,
07.06.04,,,,,,,,,
Time (h),asyn,ba12,a73-83Del,,,,,,
0,4,4,4,,,,,,
3,4.1,4,4.1,,,,,,
8,63.7,4.2,4.1,,,,,,
26,223.7,32.7,21.6,,,,,,
48,261.7,83.7,35.6,,,,,,
97,347.7,100.7,27.6,,,,,,
,,,,,,,,,
05.07.04,,,,,,,,,
Time (h),asyn,a1-75,a1-80,,,,,,
0,4,4,4,,,,,,
2,3.9,3.9,4,,,,,,
4,4,20.8,4.2,,,,,,
8,7.5,27.2,9.1,,,,,,
24,271.5,27.2,32.8,,,,,,
48,356.5,31.2,33.8,,,,,,
105,422.5,25.2,31.8,,,,,,
,,,,,,,,,
12.07.04,,,,,,,,,
Time (h),asyn,a11-140,a21-140,a61-140,,,,,
0,4,4,4,4,,,,,
4,4,4,4,4,,,,,
9,4,3.9,4.1,4,,,,,
25,314.5,5.5,100.6,4.4,,,,,
50,343.5,22.5,114.6,4.8,,,,,
104,358.5,43.5,106.6,6.4,,,,,
,,,,,,,,,
13.09.04,,,,,,,,,
Time (h),asyn,a1-75,a1-80,aS129E,,,,,
0,4,4,4,4,,,,,
2,4.1,4.1,6.1,4,,,,,
4,4.2,20.3,24.5,4.1,,,,,
8,8.3,54.3,85.5,4.6,,,,,
24,47.6,46.3,99.5,115.6,,,,,
48,62.6,41.3,95.5,163.6,,,,,
100,58.6,30.8,67.5,135.6,,,,,
,,,,,,,,,
,,,,,,,,,
06.10.04,NB: NEW LAMP (buffer value was double),,,,,,,,
Time (h),asyn,ba12,a71-72Del,aS129E,,,,,
0,4,4,4,4,,,,,
4,4,4,4.2,4.6,,,,,
9,8.6,4.1,6.3,66.1,,,,,
24,99.2,14.4,278.1,240.1,,,,,
48,162.2,246.4,727.1,264.1,,,,,
120,173.2,269.4,750.1,247.1,,,,,
,,,,,,,,,
18.10.04,,,,,,,,,
Time (h),asyn,a68-71Del,a71-72Del,a73-83Del,aV71GT72G,aT72V,,,
0,4,4,4,4,4,4,,,
4,66.2,4,3.8,4,4,127.4,,,
8,255.2,4.4,3.9,12.1,4.7,154.4,,,
33,583.2,3.9,480.9,38.1,37.4,132.4,,,
52,563.2,11.1,512.9,42.1,41.4,121.4,,,
78,575.2,51.3,533.9,45.1,44.4,130.4,,,
96,566.2,58.3,528.9,45.1,45.4,125.4,,,
,,,,,,,,,
27.10.04,,,,,,,,,
Time (h),asyn,a68-71Del,a71-72Del,a71-82Del,aV71GT72G,aT72V,,,
0,4,4,4,4,4,4,,,
4.5,15.6,3.9,4.7,4,4,25.1,,,
8,84,3.9,49,4,4,123.1,,,
25,316,4.1,422,4.6,381.2,126.1,,,
56,338,92.1,612,8.2,407.2,133.1,,,
126,374,115.1,607,33.2,333.2,131.1,,,
,,,,,,,,,
10.11.04,,,,,,,,,
Time (h),asyn,a71-72Del,a71-74Del,a71E72E,aT72V,,,,
0,4,4,4,4,4,,,,
2,4,4.04,4.1,4.1,4.1,,,,
4,4.2,4.14,4.2,4.2,21.3,,,,
8,16.8,4.14,4.4,4.2,115.4,,,,
25,513.1,382.14,87.5,5.3,104.4,,,,
49,653.1,613.14,247.5,10.7,113.4,,,,
96,653.1,620.14,303.5,17.6,106.4,,,,
,,,,,,,,,
22.11.04,,,,,,,,,
Time (h),asyn,a71-72Del,a71-74Del,a71E72E,aT72V,aS129E,,,
0,4,4,4,4,4,4,,,
4,13.8,4.5,4,4.1,85.4,4.7,,,
8.5,62.8,11.3,4.6,4.1,160.4,66,,,
24,82.8,674.1,223.3,6.9,160.4,413,,,
50,107.8,713.1,337.3,16.4,155.4,403,,,
96,121.8,708.1,391.3,27.9,150.4,557,,,
,,,,,,,,,
14.12.04,,,,,,,,,
Time (h),asyn,a71-74Del,a71-76Del,a71E72E,,,,,
0,4,4,4,4,,,,,
4,43,4,4,4,,,,,
8,773,4.9,4.1,4.1,,,,,
24,1103,108.3,3.97,5.8,,,,,
49,1158,322.3,4.8,8.9,,,,,
75,1037,376.3,68.3,16.1,,,,,
144,1103,493.3,133.3,31.1,,,,,
,,,,,,,,,
05.01.05,,,,,,,,,
Time (h),asyn,a71-74Del,a71-76Del,a71-78Del,a71-81Del,a71-82Del,,,
0,4,4,4,4,4,4,,,
4.5,22.2,4,4,4,4,3.9,,,
8.5,98.2,9.2,4.1,4,4.1,4,,,
25,444.2,128.3,4,4.1,4,3.9,,,
53,734.2,271.3,164.4,7.8,5.9,14.6,,,
127,733.2,422.3,161.4,8.7,51.7,34.1,,,
,,,,,,,,,
31.01.05,,,,,,,,,
Time (h),asyn,a71-78Del,a71-81Del,a71E72E,45V46V71E72E,,,,
0,4,4,4,4,4,,,,
4,4.4,4.3,3.9,4,4,,,,
8,24.9,4.2,4.1,4.1,4,,,,
24,125.9,4.1,6.3,4.6,4,,,,
50,210.9,10.1,21.8,7.3,63,,,,
96,276.9,496.3,67.8,14.1,162,,,,
,,,,,,,,,
21.02.05,,,,,,,,,
Time (h),asyn,a71-78Del,a71-81Del,a71E72E,45V46V71E72E,,,,
0,4,4,4,4,4,,,,
4.5,4,4,3.9,4.1,4.4,,,,
8,4.1,3.9,4.1,5.3,4.2,,,,
24,92,3.9,9.1,5.2,20.5,,,,
50,1001,4.6,32.5,5.2,285.5,,,,
96,903,8.5,71.5,11,338.5,,,,
,,,,,,,,,
05.07.05,"at 5,2.5 ",,,,,,,,
Time (h),asyn,fr_asyn,fr_bsyn,fr_gsyn1,fr_gsyn2,,,,
0,4,4,4,4,4,,,,
4.5,4.1,134.5,4,185.6,238.4,,,,
8.5,8.1,132.5,6.8,206.6,288.4,,,,
23,208.2,129.5,7.5,209.6,299.4,,,,
54,241.2,113.5,6.7,255.6,298.4,,,,
103,194.2,111.5,7.1,134.6,203.4,,,,
,,,,,,,,,
01.08.05,"CIMR LS50 (5, 2.5)",,,,,,,,
Time (h),asyn,fr_asyn,fr_bsyn,fr_gsyn1,fr_gsyn2,,,,
0,4,4,4,4,4,,,,
1.75,4.1,38.5,4.1,93.3,39.8,,,,
3,3.9,276.5,4.3,136.3,105.8,,,,
4,4,277.5,4.6,144.3,164.8,,,,
8,5.9,287.5,13.8,148.3,133.8,,,,
23,100.9,311.5,43.8,212.3,101.8,,,,
47,127.9,313.5,64.8,233.3,107.8,,,,
96,195.9,313.5,85.8,157.3,105.8,,,,
,,,,,,,,,
04.08.05,"CIMR LS50 (5, 2.5)",,,,,,,,
Time (h),asyn,fr_asyn,fr_bsyn,fr_gsyn1,fr_gsyn2,,,,
0,4,4,4,4,4,,,,
0.5,4.3,8.6,3.9,7.2,4,,,,
1,4.3,11,4.3,10.2,5.4,,,,
2,4.2,65.3,4.1,29.7,57.2,,,,
4,4.2,143.3,4.4,78.7,110.2,,,,
6,4.4,140.3,5.2,108.7,122.2,,,,
8,5.6,144.3,5.9,108.7,115.2,,,,
24,129,150.3,41.7,117.7,113.2,,,,
53,197,135.3,66.7,130.7,115.2,,,,
118,203,129.3,97.7,116.7,89.2,,,,
,,,,,,,,,
09.08.05,"CIMR LS50 (5, 2.5)",,,,,,,,
Time (h),asyn,fr_asyn,fr_bsyn,fr_gsyn1,fr_gsyn2,,,,
0,4,4,4,4,4,,,,
0.5,3.7,3.9,4.4,4.1,4.5,,,,
1,3.9,11.3,4.7,7.5,34.4,,,,
2,3.7,35.5,4.6,26.5,115.4,,,,
4,3.7,75.5,4.7,198.5,144.4,,,,
8,5.3,93.5,5.4,134.5,127.4,,,,
24,88.3,102.5,7.1,135.5,130.4,,,,
48,153.3,96.5,6.9,135.5,125.4,,,,
105,175.3,96.5,7.5,127.5,130.4,,,,
,,,,,,,,,
30.08.05,"CIMR LS50 (5, 2.5)",,,,,,,,
Time (h),asyn,fr_asyn,fr_bsyn,fr_gsyn1,fr_gsyn2,,,,
0,4,4,4,4,4,,,,
0.5,4,13.3,4.7,5,4,,,,
1,3.9,23.5,4.1,6.6,5.9,,,,
2,3.9,39.5,4.1,19.4,64.4,,,,
4,4.5,71.5,4.2,62.7,74.4,,,,
8,17.8,80.5,4.5,69.7,93.4,,,,
24,42.9,73.5,8.3,70.7,83.4,,,,
49,75.9,76.5,11.4,81.7,86.4,,,,
105,124.9,70.5,16.1,73.7,66.4,,,,
,,,,,,,,,
15.11.05,"CIMR LS50 (5, 2.5)",,,,,,,,
Time (h),asyn,fr_asyn,fr_bsyn,fr_gsyn1,fr_gsyn2,,,,
0,4,4,4,4,4,,,,
8,4.7,181.5,3.9,143.3,189.9,,,,
25,89.9,243.5,3.9,148.3,189.9,,,,
48,147.9,323.5,4.9,137.3,175.9,,,,
100,181.9,383.5,8.2,178.3,197.9,,,,
,,,,,,,,,
29.11.05,"LMB LS55B (5,10 1% Atten)",,,,,,,,
Time (h),asyn,fr_asyn,fr_bsyn,fr_gsyn1,fr_gsyn2,,,,
0,4,4,4,4,4,,,,
1,3.9,13.1,4,3.9,15.8,,,,
2,4,141.8,5.4,4,67.8,,,,
4,4.1,158.8,4.1,133.7,75.8,,,,
8,4.5,175.8,4.4,140.7,66.8,,,,
24,98.1,165.8,15.4,148.7,81.8,,,,
48,165.1,228.8,18.7,168.7,93.8,,,,
100,208.1,257.8,19.7,156.7,109.8,,,,
,?,,,,,,,,
06.03.06,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,a71E72E,a45V46V,a45V46V71E72E,,,,,
0,4,4,4,4,,,,,
1,4,4,10.6,4,,,,,
2,4.1,4,37.9,4,,,,,
4,9.8,3.9,47.9,4.3,,,,,
8,113.2,4.1,55.9,4.6,,,,,
24,235.2,4.7,69.9,5.9,,,,,
48,216.2,4.1,56.9,30.4,,,,,
96,194.2,3.9,51.9,52.4,,,,,
,,,,,,,,,
10.04.06#1,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,a71E72E,a45V46V,a45V46V71E72E,,,,,
0,4,4,4,4,,,,,
4,4.1,4.3,62.3,4.2,,,,,
8,5.7,4.1,75.3,4.3,,,,,
24,22.5,4.2,86.3,4.5,,,,,
48,120,4,92.3,32.3,,,,,
98,113,4.5,94.3,83.3,,,,,
,,,,,,,,,
10.04.06#2,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,a71E72E,a45V46V,a45V46V71E72E,,,,,
0,4,4,4,4,,,,,
4,4.8,5.1,8,4.5,,,,,
8,8,5.3,3,4.2,,,,,
24,34.3,5.1,12,46.5,,,,,
48,59.3,8.3,13,167.5,,,,,
96,57.3,20.3,7,162.5,,,,,
,,,,,,,,,
15.05.06,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,a71E72E,a45V46V,a45V46V71E72E,bE46V,,,,
0,4,4,4,4,4,,,,
4,4.3,4.2,64.8,4.1,20.9,,,,
8,4.7,4.3,68.8,4.1,22.4,,,,
24,23.7,4.6,98.8,4.2,25.4,,,,
48,79.7,5.2,117.8,12,26.4,,,,
96,87.7,6.6,92.8,57.3,27.4,,,,
,,,,,,,,,
15.05.06,ThT early timepoints,,,,,,,,
Time (h),a45V46V,,,,,,,,
0,4,,,,,,,,
0.5,41.8,,,,,,,,
1,64.8,,,,,,,,
2,68.8,,,,,,,,
4,64.8,,,,,,,,
8,68.8,,,,,,,,
24,98.8,,,,,,,,
48,117.8,,,,,,,,
96,92.8,,,,,,,,
,,,,,,,,,
26.10.06#1,"5,2.5 (CIMR LS50)",,,,,,,,
Time (h),asyn,b5V8Q,,,,,,,
0,4,4,,,,,,,
2,4.2,6.1,,,,,,,
4,4.1,4.8,,,,,,,
8,4.5,4.8,,,,,,,
24,82.4,43.9,,,,,,,
48,272.4,32.9,,,,,,,
98,385.4,38.9,,,,,,,
,,,,,,,,,
